State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.02016	1.91514	1.82865	1.89043	1.69891	1.73598	1.75451	1.65567	1.64331	3.15071	2.57617	1.30353	0.93903	1.04406	1.21704	1.10584	1.14908	1.35295	1.38384	1.41473	1.42709
2	0.34253	0.25690	0.25690	0.17126	0.17126	0.51379	0.59943	0.59943	0.51379	0.68506	0.59943	0.77069	0.42816	0.25690	0.51379	0.51379	0.51379	0.51379	0.34253	0.77069	0.94196
3	0.48994	0.44880	0.41140	0.38896	0.37774	0.36091	0.35343	0.34034	0.32538	0.32725	0.31977	0.31229	0.32725	0.33473	0.34969	0.34408	0.37026	0.42262	0.51986	0.65263	0.82466
4	0.88179	0.87357	0.84345	0.82428	0.79963	0.73665	0.68462	0.60520	0.58603	0.58329	0.59699	0.60520	0.63532	0.64628	0.69557	0.74486	0.80511	0.83797	0.87357	0.94477	1.01871
5	1.12236	1.09276	1.05387	1.00135	0.92046	0.82632	0.71496	0.58887	0.46426	0.41149	0.39650	0.39353	0.40951	0.43490	0.47020	0.54440	0.64411	0.77281	0.90002	1.00704	1.09722
6	0.70272	0.69459	0.68119	0.66373	0.63999	0.60361	0.56071	0.50944	0.45992	0.43419	0.42824	0.42717	0.43380	0.44458	0.46026	0.48468	0.51254	0.53445	0.55167	0.56657	0.57822
7	2.53095	2.52848	2.52416	2.52724	2.50009	2.42912	2.29643	2.08042	1.87491	1.75704	1.72741	1.73852	1.79530	1.90207	2.00143	2.10449	2.16621	2.19892	2.21496	2.20077	2.16312
8	4.45333	4.74297	5.97397	7.82047	9.10578	11.96605	16.85385	23.85969	35.44557	67.83175	104.67125	73.51608	58.32770	39.10237	26.90098	18.21157	14.12030	11.96605	8.61700	7.00584	5.19555
9	4.26900	4.36180	5.44452	6.21789	8.19771	11.72428	17.75655	28.21250	43.21586	71.58304	130.23535	134.87557	94.28916	51.44451	28.80026	16.89038	10.05380	6.34163	4.67115	3.15535	3.34095
10	5.52521	6.64370	8.13502	10.02973	12.63342	16.89957	22.25976	29.38020	35.38825	31.13433	20.21226	29.97917	37.55189	40.49785	37.46021	31.22601	25.09571	20.09002	16.22726	13.36075	11.22767
11	6.42890	7.62070	9.05086	11.05989	14.48546	18.22430	22.74633	26.42388	30.85737	26.81888	16.84863	19.49102	23.76787	32.23305	37.72894	38.53936	33.88113	27.69059	22.87572	18.44904	14.85322
12	3.80657	4.17401	4.42173	4.69421	5.25983	5.73462	5.68921	5.89976	4.85523	3.45976	2.63404	2.10971	2.13036	2.61753	3.71161	5.66031	8.05902	9.29347	9.60724	9.30999	9.00447
13	1.69751	1.71030	1.68898	1.75295	1.75295	1.93209	1.92356	2.01312	1.76148	1.31365	0.89140	0.84875	0.87861	0.72933	0.81037	0.90420	1.01936	1.13451	1.20702	1.39895	1.35630
14	1.63400	1.56397	1.54063	1.51728	1.33054	1.49394	1.82074	1.63400	1.70403	1.58731	1.91411	1.28386	0.93371	0.81700	0.74697	0.81700	0.63026	0.70028	0.60691	0.95706	1.09711
15	1.58371	1.53063	1.67219	1.57487	1.75624	1.60583	1.66334	1.60141	1.29617	1.00420	0.95996	0.88033	0.76089	0.84937	0.79628	0.80070	0.84494	0.93342	0.98650	1.04401	1.12364
