State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.49674	3.61540	1.96224	1.10354	2.35899	2.57625	1.69198	0.79522
2	0.03584	0.33165	0.34726	0.22475	0.48514	0.59945	0.47475	0.06652
3	1.64108	0.07042	0.83438	2.13547	0.54666	0.31978	0.43393	0.14445
4	1.12063	0.33521	5.26020	1.91692	6.03510	0.59700	0.77987	0.19750
5	24.77485	0.27654	1.46945	1.53576	1.34849	0.39651	0.74130	0.62432
6	63.44893	0.34356	0.60378	0.72689	0.69561	0.42825	0.58222	1.21869
7	4.97251	3.19897	1.13199	0.82731	1.22234	1.72747	2.25272	1.02148
8	0.16952	100.44677	11.37304	1.55274	2.17426	104.67446	24.09531	0.28700
9	0.09920	123.60103	16.84948	1.87311	2.48864	130.20841	27.36361	0.15655
10	0.50210	20.78434	4.87669	1.76083	3.20641	20.21288	18.91696	0.23700
11	0.45061	24.59666	4.56468	1.63017	3.31039	16.84915	20.05021	0.37841
12	0.74330	2.17297	1.66719	1.54094	1.88055	2.63413	4.96483	0.47251
13	0.71952	0.22803	1.17862	1.45597	1.45946	0.89143	1.39267	0.40296
14	0.13147	0.96191	1.82424	1.63706	2.43332	1.91417	1.25272	0.26551
15	0.69371	0.62035	1.40291	1.48863	1.50374	0.95999	1.23800	0.34998
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
