State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.24900	1.25741	1.26266	1.24724	1.21921	1.16769	1.07342	0.97039	0.86280	0.79166	0.75907	0.75101	0.80288	0.87752	0.97424	1.05905	1.12108	1.15087	1.18101	1.18346	1.18276
2	0.74571	0.72745	0.70143	0.66306	0.60864	0.54317	0.47184	0.41012	0.36990	0.35091	0.34383	0.34767	0.36105	0.37866	0.39855	0.42380	0.45664	0.48612	0.50748	0.52349	0.53787
3	0.91171	0.89187	0.86509	0.83731	0.81647	0.74405	0.66866	0.57639	0.51687	0.49405	0.50794	0.49405	0.51488	0.53671	0.58433	0.62500	0.65576	0.67957	0.67957	0.69247	0.71727
4	0.86961	0.81294	0.74914	0.68176	0.61127	0.55773	0.50597	0.46403	0.43592	0.42521	0.42343	0.42699	0.44261	0.45020	0.47295	0.52292	0.61082	0.74468	0.91021	1.08377	1.21093
5	1.29389	1.10962	0.89562	0.68856	0.56868	0.50032	0.45375	0.43097	0.42205	0.43592	0.43394	0.45871	0.47555	0.50032	0.51518	0.54193	0.66082	1.07593	1.71495	2.40252	3.09405
6	2.90761	2.76692	2.49856	2.08431	1.62576	1.14116	1.01610	0.88062	0.82851	0.76859	0.79204	0.78943	0.77380	0.84675	0.96399	1.47465	2.95190	4.87989	6.40664	7.15699	7.30550
7	2.52313	2.65514	2.83400	3.07247	3.24600	3.21193	2.84997	2.25165	1.72467	1.78961	1.65441	1.30734	1.18704	1.21898	1.32331	1.52346	1.63418	1.75555	1.74277	1.70338	1.58201
8	2.86559	3.20582	3.77607	4.68175	5.96599	7.33889	8.79325	9.08556	8.45302	9.55038	9.75883	6.28226	6.03308	6.14090	6.26789	6.15288	5.25678	4.03483	3.12436	2.57568	2.19711
9	4.10803	4.82338	5.70791	7.32263	10.33539	15.54167	23.19971	32.26469	39.72682	40.63214	41.42168	45.94527	43.39259	37.00199	26.78533	16.99016	10.59659	6.85959	4.90649	3.56782	2.70109
10	6.67137	7.90977	9.56540	11.04793	11.50512	10.69283	7.86094	5.07344	3.45775	2.90291	2.96505	3.71519	6.16536	12.22419	22.85488	31.54142	34.07592	31.43045	26.40140	21.76296	18.06996
