State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.75681	0.58242	0.82200	0.91278	0.94108	0.75909	1.14875	1.62884
2	71.10791	0.27265	0.58637	0.80820	0.66885	0.34384	0.53098	1.09749
3	3.09333	0.61576	1.07437	0.79421	1.09036	0.50796	0.67536	0.90795
4	6.87794	0.61954	3.79130	2.18039	3.39379	0.42344	0.66928	0.27631
5	3.09752	0.42170	1.52022	2.28986	1.12369	0.43395	0.85903	0.14158
6	1.17787	0.31430	1.86220	2.24442	2.09303	0.79206	2.18173	0.12203
7	2.88255	0.87365	1.15377	1.08579	1.49941	1.65446	2.08789	0.46890
8	1.28081	10.53667	2.07245	1.02839	1.75106	9.75913	5.78180	0.52161
9	1.03388	47.37859	6.60707	1.34140	2.46524	41.41999	18.17092	0.27922
10	0.69137	3.86483	2.88250	2.18923	3.50547	2.96514	11.64346	0.14030
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
