State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.92499	0.92179	0.92299	0.94219	0.94739	0.95019	0.95498	0.95298	0.95298	0.94819	0.94339	0.93659	0.93059	0.91099	0.89660	0.89140	0.88500	0.87780	0.87420	0.86460	0.86540
2	0.65225	0.65466	0.65542	0.65634	0.65527	0.65277	0.65169	0.65323	0.65394	0.66109	0.66987	0.67947	0.68933	0.69525	0.70164	0.70578	0.71247	0.72110	0.72819	0.73637	0.74346
3	0.55627	0.55356	0.53931	0.54406	0.55831	0.56916	0.58273	0.59969	0.60919	0.60919	0.62547	0.62954	0.64175	0.65803	0.69195	0.71095	0.73130	0.74215	0.75436	0.75572	0.76589
4	2.88571	2.88571	2.91400	2.85035	2.85742	2.81498	2.75840	2.65938	2.65938	2.58158	2.40476	2.36232	2.36232	2.42598	2.29159	2.29159	2.28452	2.29159	2.28452	2.28452	2.25623
5	3.44740	3.45138	3.46282	3.46530	3.46431	3.46580	3.45585	3.43844	3.40810	3.36681	3.34193	3.29020	3.25090	3.21459	3.14196	3.08176	3.00217	2.92904	2.86636	2.80567	2.74349
6	1.44139	1.45720	1.44817	1.41882	1.39173	1.34206	1.30594	1.27998	1.22806	1.20210	1.17163	1.15357	1.15582	1.12083	1.11970	1.08697	1.10277	1.08358	1.08923	1.09939	1.07343
7	1.90044	1.87363	1.80659	1.80994	1.80324	1.85016	1.94736	1.92725	2.00434	1.99429	1.89374	1.83341	1.75967	1.67923	1.65241	1.62895	1.51499	1.55856	1.47142	1.45801	1.54851
8	1.49126	1.50051	1.59149	1.58224	1.67940	1.70099	1.75959	1.76576	1.85520	1.88913	1.89838	1.94310	1.89992	1.90455	1.96778	1.96161	2.02638	1.97240	2.00633	2.02946	2.06648
9	1.45863	1.34094	1.41227	1.51569	1.41227	1.53709	1.50499	1.71184	1.70471	1.80457	1.90442	1.80813	1.68331	1.69758	1.61912	1.71541	1.79387	1.86519	1.85806	1.89016	1.79030
10	1.64454	1.57529	1.49451	1.45412	1.47720	1.50028	1.62146	1.71378	2.10616	2.30235	2.25619	2.20426	2.14656	2.18118	2.17541	2.27350	2.16964	2.34852	2.14079	2.04269	2.06000
11	4.05169	4.04637	3.92939	3.85495	3.55187	3.49870	3.41894	3.11055	2.99357	2.63732	2.53097	2.61605	2.84469	2.90318	3.03611	3.04142	2.98825	2.92445	3.04674	2.99357	3.11586
12	3.29243	3.00404	3.05211	2.88388	3.22034	3.02808	2.95598	3.34050	2.90791	2.93195	2.78775	3.07614	2.88388	2.81179	3.12421	3.41259	3.02808	3.19630	3.29243	3.55679	3.10017
13	3.66166	3.68317	3.62940	3.55950	3.60789	3.57563	3.46272	3.52186	3.40357	3.44121	3.45196	3.27990	3.04332	2.99493	2.80674	2.79060	2.88201	2.78523	2.74221	2.62930	2.45724
14	2.70953	2.57234	2.30939	2.17220	2.34369	2.26366	2.04644	2.13790	1.90925	1.64630	1.33762	1.23472	1.09753	1.31475	1.34905	1.34905	1.33762	1.26902	1.28045	1.33762	1.36048
15	0.74380	0.78533	0.75512	0.70226	0.68339	0.82308	0.92880	0.82686	0.87972	0.84196	0.74002	0.69094	0.67961	0.66828	0.70981	0.75135	0.75135	0.73624	0.72114	0.67206	0.65696
