State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.97378	1.90379	1.88979	1.87579	1.92479	1.93179	2.11377	2.21875	2.39374	2.35874	2.35874	2.58271	2.47073	2.29575	2.26775	2.23975	2.16276	2.09977	2.12776	2.09977	1.91779
2	0.29105	0.19404	0.00000	0.00000	0.19404	0.48509	0.67912	0.58211	0.48509	0.48509	0.48509	0.58211	0.87316	0.58211	0.77614	0.77614	0.77614	0.67912	0.48509	0.58211	0.38807
3	0.66312	0.63982	0.64618	0.61440	0.60169	0.60804	0.61016	0.58685	0.58474	0.56567	0.54660	0.55084	0.54025	0.54236	0.52330	0.51694	0.51058	0.50423	0.49152	0.47457	0.46609
4	4.67865	4.81827	4.95168	5.07888	5.24332	5.40155	5.52565	5.63424	5.77075	5.92898	6.03447	6.11513	6.23923	6.23613	6.20821	6.24234	6.25475	6.20511	6.11824	6.07480	5.99724
5	1.39410	1.39466	1.39298	1.39677	1.39186	1.38526	1.37473	1.37207	1.36379	1.35775	1.34863	1.34470	1.34723	1.35256	1.35593	1.35116	1.34723	1.34821	1.34793	1.34835	1.35088
6	0.69088	0.69357	0.69329	0.69362	0.69411	0.69417	0.69362	0.69126	0.69061	0.69209	0.69559	0.69740	0.70031	0.70283	0.70370	0.70600	0.70732	0.70896	0.71033	0.71022	0.71302
7	1.20753	1.20753	1.20333	1.20333	1.19075	1.18795	1.20054	1.22641	1.23899	1.22990	1.22221	1.20753	1.20473	1.19564	1.19494	1.18795	1.19285	1.19774	1.20194	1.20613	1.20403
8	4.61470	4.30706	4.34808	3.85584	3.63023	3.30208	2.74831	2.62525	2.39965	2.27659	2.17404	3.05596	3.26106	3.19953	3.15851	3.26106	3.52768	3.40463	3.73278	3.69176	3.71227
9	5.25715	4.41600	4.38095	4.90667	4.24076	4.41600	4.48610	4.48610	3.04914	2.62857	2.48838	3.01410	2.73372	2.97905	2.90895	2.66362	2.20800	2.80381	2.97905	3.04914	2.83886
10	3.69772	3.74619	3.74619	3.67002	3.66310	3.54538	3.52460	3.31687	3.46228	3.37226	3.20607	2.85292	2.79752	2.70751	2.56901	2.50669	2.63134	2.47207	2.30588	2.34743	2.37513
11	3.89644	3.73441	3.66497	3.54923	3.58010	3.51837	3.26375	3.31776	3.35634	3.25604	3.31005	3.04000	2.76995	2.57705	2.99370	2.99370	2.98599	3.20203	3.07086	2.99370	3.04771
12	1.80552	1.76810	1.63713	1.58100	1.59971	1.63713	1.85697	1.87568	1.80084	1.94584	1.88036	1.81955	1.67455	1.74471	1.58100	1.67455	1.64180	1.42664	1.49680	1.71197	1.66051
13	1.13072	1.13556	1.17421	1.18871	1.13556	1.27086	1.21287	1.21287	1.26119	1.47381	1.45931	1.30951	1.15488	1.16455	1.19354	1.18388	1.25153	1.25153	1.18871	1.18871	1.31918
14	1.90414	1.98348	2.06281	1.63967	1.69257	1.77190	2.00992	2.51240	2.59174	2.35372	2.43306	2.69753	2.72397	2.45951	2.27438	2.00992	2.19505	2.19505	2.40662	2.24794	2.30083
15	1.40835	1.31313	1.34320	1.35823	1.45847	1.40334	1.47852	1.44344	1.51862	1.36826	1.50358	1.58878	1.65895	1.57876	1.51360	1.51862	1.39833	1.47351	1.53866	1.44845	1.28306
