State (Emission order)	H3k09me3	H3k36me3	H3k79me2	H3k04me1	H3k04me2	H3k09ac	H3k27ac	H3k04me3	H2az	H3k27me3
1	0.011273992726780216	2.6844088602972544E-4	8.146296182127959E-5	0.002130699571591865	0.0023325266370351405	2.318776457636782E-5	1.0000484413770365E-4	8.836777002309393E-5	0.008330873299896074	0.37629637514058134
2	0.008698327772294909	9.250402540964212E-4	2.0069064389473606E-4	7.133270643309132E-4	6.389711952600211E-5	2.1061637589579278E-5	9.182420134849134E-5	2.6135387182045932E-5	0.006427870921197273	0.00474463315583268
3	0.4574580256232171	0.0732999194878602	0.003477836396923206	0.0020211872723359227	1.914169805682257E-4	2.235908246754306E-4	1.541377921312902E-4	0.001551615778851474	0.007826886005735067	0.005770337808349365
4	0.003519187106004051	0.20993939918595056	0.03914655649966292	0.016308375154034303	1.1932551521053076E-4	3.5132413052354155E-4	7.372259770652851E-4	1.65901015684347E-5	3.2204448428624934E-5	2.9730644226078755E-5
5	0.04103261718013918	0.2246310989176239	0.6836413073515434	0.05739075996803882	7.548768320647962E-4	4.8747395127385324E-4	8.953391059618884E-4	1.913658823785862E-4	2.9018750578938702E-5	7.147119957107052E-5
6	0.010625101205593204	0.2500555009458849	0.7731918062120666	0.823285697475281	0.27337817313305457	0.10348103386352125	0.09545855208395047	0.029576302165377332	0.00113606839065808	1.1964315838882738E-4
7	0.009875202640730153	0.008789641879132446	0.00458299337331221	0.5098452529237558	0.08071725275499082	0.017742856501535606	0.02081566580882662	0.0014288420602093306	0.17381630499120157	0.0022060107335223314
8	0.01724351548959072	0.010685195211574591	0.008282391298077755	0.7220304840824577	0.8047899092116898	0.40351264107393314	0.3370780480332492	0.3473111232448537	0.5341983706570941	0.06953649156562519
9	0.0033895350086236625	0.002542878486879819	0.20455424969751262	0.3587125524517735	0.8956696583828531	0.9897219310703399	0.991706891192862	0.9913257595218634	0.8714846840098704	0.014487590051814873
10	0.006694895439047458	0.2152864153809567	0.9010246281442649	0.7365088909431508	0.9774904182710555	0.9000814416479689	0.8191622248904721	0.7969041417347178	0.043322701920250416	9.207307325490567E-5
