State (Emission order)	H3k27me3	H2az	H3k04me2	H3k04me3	H3k27ac	H3k09ac	H3k04me1	H3k79me2	H3k36me3	H3k09me3
1	0.37831485265659626	0.007021191255246551	0.0010699496941970533	4.9181263961731476E-5	9.848702998201459E-5	2.3332043967283142E-5	0.002127259587816004	8.423924484712515E-5	2.8618989147726647E-4	0.01153265110737309
2	0.004899715599163153	0.003842795852762204	1.5475257147232178E-5	1.3923666004532326E-5	9.64330239657286E-5	3.0014646312673408E-5	9.217766589453372E-4	1.7716616446674014E-4	8.907554012547421E-4	0.005246184005780924
3	0.004278509786698764	0.003885510458614375	9.574607265416343E-5	1.687329929752422E-4	6.966475729943448E-5	3.315186481224992E-5	5.112331489067558E-4	2.0391813103056854E-4	0.006566934532930551	0.2728770939799371
4	4.114817601837315E-4	0.01456249890254447	0.0019722706197588457	0.010994324524505317	0.0011483593104222453	0.002833467065375254	0.02005401067099177	0.2223076632509288	0.6331133104686049	0.7509266576018382
5	3.320819432285709E-5	2.986894992657299E-5	8.805148460455782E-5	8.30548887172709E-6	6.121662428550007E-4	2.917825647366805E-4	0.009619171329999208	0.03413530162240654	0.20273557079747725	0.0020653654981712226
6	6.884211974327036E-5	2.2990409844913434E-5	7.676768869033774E-4	9.24077233349982E-6	0.0010051050407138336	5.242514519705531E-4	0.06102224138902063	0.6645207453275455	0.19969449682113877	0.008154671152576311
7	1.1065069488812613E-4	7.754632110788654E-4	0.2950737704911415	0.035777395712929136	0.09614352049544075	0.10723122759988184	0.838121626810829	0.8703733651573377	0.2596413364925296	0.009632751163641748
8	5.021196290686378E-4	0.010171326466302156	0.01935975031867876	2.2524467932430484E-38	0.01105951253871375	0.006607966584323838	0.45790451762693385	0.013406998923083653	0.022030827528723942	0.006218795151309861
9	5.048195952316533E-4	0.36130435980177317	0.5916671877680239	0.10085958798348091	0.2446603330111226	0.30478801280201817	0.9481710365016401	0.018200633576959196	0.030115992008090828	0.01458047548796124
10	0.0024176482485431085	0.7732848964844478	0.9986081575529441	0.7972780214345827	0.8750416153438721	0.9565897286067729	0.9315796974770083	0.03819046061904276	0.007823434595994988	0.003760474702876452
11	0.013843450792135404	0.8717024591911035	0.844498407772364	1.0	0.9963673813912732	0.9931209248973277	0.03964845000775241	0.2841015920592631	0.002373233180922499	0.004247758279691449
12	5.314046256077504E-4	0.10030635613023103	0.4329920698913532	0.37284925104496147	0.3383089639554856	0.22263005783249395	0.03023941005834046	0.029607200259101824	0.0062771111338449075	0.014929017513369173
13	2.0291796694337798E-4	0.06520040404788147	0.9870539365281763	0.823600477763562	0.8327592580751022	0.9115954436844005	0.7451916569874436	0.9429108642804119	0.21730052708664138	0.00652996193960557
14	0.32834224719134913	0.6898681443307345	0.94341092950506	0.6072043870741476	0.14410460006824186	0.13654635990314792	0.3163052340578133	6.531247381382659E-4	0.0018131775513086845	0.02730320372582613
15	0.016058312872764584	0.5372565873237876	0.10217996237484579	0.0041073373575570855	0.006832305317395125	0.0061325830879909145	0.26053274299371315	5.1871432493528246E-5	0.0013348973555812294	0.020271848119588782
