15	10	E	-6105679.360600595	125
probinit	1	1.208823997841102E-233
probinit	2	0.0
probinit	3	9.782483075774802E-245
probinit	4	5.313123377338844E-217
probinit	5	9.479252778719316E-25
probinit	6	1.0
probinit	7	3.345378201708525E-218
probinit	8	5.471461955522226E-250
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	9.011289366781429E-198
probinit	13	0.0
probinit	14	0.0
probinit	15	4.113599653666686E-185
transitionprobs	1	1	0.4339661125101106
transitionprobs	1	2	4.767298852713386E-5
transitionprobs	1	3	6.01316294667417E-4
transitionprobs	1	4	0.0012394682912671986
transitionprobs	1	5	0.19625622374948004
transitionprobs	1	6	0.3051973428393599
transitionprobs	1	7	0.03443896974851885
transitionprobs	1	8	0.0011436819201327082
transitionprobs	1	9	4.8761981996873046E-4
transitionprobs	1	10	7.305010463833106E-4
transitionprobs	1	11	0.008693847554423694
transitionprobs	1	12	0.008943143123193347
transitionprobs	1	13	0.0025189305848196428
transitionprobs	1	14	1.925457013562384E-5
transitionprobs	1	15	0.005715914959012008
transitionprobs	2	1	8.878892264207318E-4
transitionprobs	2	2	0.6421982097146396
transitionprobs	2	3	0.2900472494270314
transitionprobs	2	4	0.0
transitionprobs	2	5	0.0
transitionprobs	2	6	0.02891608425269872
transitionprobs	2	7	0.03683594263797892
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	2.4175099415053186E-4
transitionprobs	2	11	8.728737470800243E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.0
transitionprobs	2	15	0.0
transitionprobs	3	1	1.5664793523276628E-4
transitionprobs	3	2	0.006158413151098817
transitionprobs	3	3	0.9691261871599212
transitionprobs	3	4	0.0025907229051339315
transitionprobs	3	5	0.009964618109808566
transitionprobs	3	6	0.0
transitionprobs	3	7	2.7030154016291027E-5
transitionprobs	3	8	6.418215856137341E-6
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.011077322611704504
transitionprobs	3	13	1.9970870322587637E-4
transitionprobs	3	14	2.8879061686486657E-4
transitionprobs	3	15	4.041404371370088E-4
transitionprobs	4	1	6.069369011352811E-4
transitionprobs	4	2	0.0
transitionprobs	4	3	0.0031521205718913338
transitionprobs	4	4	0.9614703517495634
transitionprobs	4	5	0.022155436759412825
transitionprobs	4	6	9.49136717201109E-6
transitionprobs	4	7	3.665148589443177E-4
transitionprobs	4	8	4.681983133675518E-5
transitionprobs	4	9	3.618738118697576E-5
transitionprobs	4	10	0.0
transitionprobs	4	11	2.325097434921874E-4
transitionprobs	4	12	0.002549170330658771
transitionprobs	4	13	0.0
transitionprobs	4	14	0.0036445064752556092
transitionprobs	4	15	0.005729954029950674
transitionprobs	5	1	0.004788635615693866
transitionprobs	5	2	0.0
transitionprobs	5	3	6.96602039234079E-4
transitionprobs	5	4	0.0010792416426422284
transitionprobs	5	5	0.9780992171668967
transitionprobs	5	6	5.183308255215514E-4
transitionprobs	5	7	3.4726848846480725E-4
transitionprobs	5	8	1.472743486291215E-4
transitionprobs	5	9	0.0
transitionprobs	5	10	6.81173626344259E-5
transitionprobs	5	11	4.2520767784729325E-4
transitionprobs	5	12	0.006706635686980794
transitionprobs	5	13	6.884476362103438E-4
transitionprobs	5	14	0.0
transitionprobs	5	15	0.0064350215092447505
transitionprobs	6	1	0.002963987578291814
transitionprobs	6	2	1.6198541547640563E-5
transitionprobs	6	3	0.0
transitionprobs	6	4	0.0
transitionprobs	6	5	2.1154638108750228E-4
transitionprobs	6	6	0.9912007430656453
transitionprobs	6	7	0.004006721647736388
transitionprobs	6	8	1.1646413781108358E-4
transitionprobs	6	9	0.0
transitionprobs	6	10	2.0466182380975133E-5
transitionprobs	6	11	2.3938953900620223E-4
transitionprobs	6	12	9.191977511216156E-4
transitionprobs	6	13	5.058518858720682E-5
transitionprobs	6	14	0.0
transitionprobs	6	15	2.5469998678448376E-4
transitionprobs	7	1	0.004065845773485734
transitionprobs	7	2	2.3933762522844712E-4
transitionprobs	7	3	0.0
transitionprobs	7	4	6.730332265561733E-5
transitionprobs	7	5	0.0017049885707390803
transitionprobs	7	6	0.04736336423232813
transitionprobs	7	7	0.9429323979949118
transitionprobs	7	8	2.134765283593544E-4
transitionprobs	7	9	0.0
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0026969886488319634
transitionprobs	7	12	7.133028684636755E-4
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	2.9944349963406965E-6
