State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9640589204392811	0.03163650206126515	7.630094327159177E-4	0.0	0.0	0.0	4.649461525501545E-5	0.0034850640361080844	1.0009415374635861E-5	0.0
2	0.004098793766517155	0.9797038413839162	0.005162481341556714	5.418816678306338E-4	0.0	0.0	0.009585200098527343	8.042309388493742E-4	1.0095278790613993E-4	2.61801489654209E-6
3	0.0019049823751506288	0.09947735483254985	0.8908250616283553	0.0037116767737845465	5.241349709264512E-4	5.058760338114186E-5	0.0018614597959285624	0.0015970548460978514	3.638272846956926E-5	1.1304445355944738E-5
4	0.0	0.005521073435670694	0.002012254437496802	0.9706122341991985	0.01009435785309529	0.005812519603323469	0.005252287717644205	3.523893022991747E-4	7.361620915667024E-5	2.6926724211529874E-4
5	4.878159049966285E-6	0.0	7.565464844701882E-4	0.022830593457245835	0.930261802549139	0.04455849400464268	0.0	0.0	1.147305152686869E-5	0.0015762122939252906
6	0.0	0.0	1.3280729407568145E-4	0.03285780449704135	0.11424066784915904	0.7767889515879627	0.006384448392009374	0.002976732909602876	0.0	0.06661858747014894
7	6.428298490250243E-5	0.19924108162000093	0.0020561391977885154	0.010622118008494514	0.0	0.0023690910463685364	0.6982389928325617	0.08214410899962946	0.005086733387306801	1.7745192294711892E-4
8	0.02390845635687533	0.04212912270974483	0.0045158102685737365	0.0020740459123180822	0.0	0.00238276010120984	0.21369865089338247	0.5922732005487543	0.11717443019377627	0.0018435230153649948
9	9.148181597957426E-5	0.006221521265865708	1.5440204801722175E-4	4.898075582462906E-4	2.107608101314127E-5	2.9913974063523487E-5	0.01735311998617699	0.14583725559858704	0.7873008941187943	0.042500527553256125
10	0.0	1.5849897418849685E-4	7.004596034626228E-5	0.0027756308488695	0.007853511695417426	0.11809616857050834	0.0013545096092602313	0.0032158316108211577	0.061178806778157346	0.8052969959524313
