State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9632358508810823	0.03103014653465952	0.0013972245287436635	0.0	0.0	0.0	0.0	2.8657834146443894E-5	0.0	0.0	1.316230102942671E-5	6.8437189497634175E-6	1.0224778170847557E-6	0.0038917427165600354	3.95349007011634E-4
2	0.0041958949475955415	0.9768948573075842	0.005754537706369007	0.0	4.799363345112687E-4	0.0	0.0	0.004115756598544135	3.43322022572178E-4	9.386095645496087E-5	3.96492834417731E-5	3.347073505956844E-4	5.659514727675548E-7	2.8183819327560355E-4	0.007465073347582967
3	0.0020627713477639705	0.06402378236546896	0.9270741139308157	0.003981492217254988	0.0	0.0	0.0	8.773083720173371E-4	4.2509956980095703E-4	3.360635671210415E-6	2.3531815271739826E-5	2.225085560619966E-4	0.0	5.031129980131203E-4	8.02918191859923E-4
4	2.8707548499461038E-5	0.0	0.047315919214124126	0.8417322983774925	0.08179862975578397	0.01900401779470359	0.0020418355876489973	0.0037477461981701423	0.00256954849152209	0.0	0.0	0.0013267256830111652	4.345713490440553E-4	0.0	0.0
5	0.0	0.004615784168760248	0.0	0.006180007389206432	0.9672227676732655	0.009346784082950827	0.001418189882856874	0.01038745059125606	1.2877280508637694E-4	7.447725100692193E-6	0.0	5.333758961484314E-4	1.594197853684424E-4	0.0	0.0
6	0.0	0.0	0.0	0.0031401465082886533	0.021668097858846005	0.9244915793037175	0.04867691210557055	8.159824891483579E-5	0.0	0.0	2.325700983048648E-6	2.3460521682964076E-4	0.00170473505684978	0.0	0.0
7	0.0	0.0	0.0	9.383286913019999E-4	0.009095827321222718	0.14290446089074507	0.7669165436532414	0.010565533389680446	0.003132958796054486	1.7379236217479203E-4	0.0	7.338447514653516E-4	0.06553871014411389	0.0	0.0
8	8.971201317622398E-5	0.106204151742247	0.001655933881966902	0.0012944272746017488	0.02800846841814637	1.0766500894567467E-4	0.004423230265241258	0.7456178366845776	0.10132603493959431	0.005872219557936549	1.1298041927077245E-6	0.0020575809645124697	1.2706679108884125E-4	6.07367611921886E-5	0.0031538058925801894
9	0.0	0.02141213627962556	0.003190035647062919	0.0	0.0016191325348652202	0.0	0.0031080193789463366	0.25048702978805226	0.5820361376867245	0.10729381078396946	0.0	0.0032471380166858815	0.0019771743014576023	0.0015212370203373596	0.024108148562272814
10	0.0	0.0089669104225421	1.2495799143755022E-4	2.598968699090655E-4	2.939048586289314E-4	0.0	7.692242234078628E-5	0.025132423082890612	0.18456989123915443	0.6605089920072612	0.06748982780576926	0.0191551387933722	0.006683452178130109	0.007186937711301031	0.019550744617262743
11	2.1327040972717563E-4	0.0033603363136157868	2.0733910580293715E-4	0.0	1.9692884351947792E-5	2.0170690691056793E-5	0.0	0.0	0.0	0.06056772898665307	0.7778108835716298	0.070871060786652	0.053754418918444034	0.030437524037843222	0.0027375742945890892
12	2.01139612687474E-6	0.13920195746442043	0.009678314127991448	0.00344550768882432	0.021743401219006343	0.003921891289103657	0.005393921752651266	0.035379197159207246	0.0141012505630382	0.07320198824551384	0.28479041502979474	0.361174770153751	0.03586839999972296	0.012054695504332023	4.2278406515746416E-5
13	0.0	0.0	0.0	7.779094216872071E-4	0.00169498952334994	0.008833059644319335	0.10786727529019954	0.001078580566862783	0.0038454168650081306	0.0057877197847803225	0.05334200403032203	0.008600143871511525	0.8081729010019592	0.0	0.0
14	0.1120029758315998	0.05840757390205193	0.007663400514537091	8.806776520098358E-4	0.0	5.561613867622001E-6	0.0	6.695106045762315E-4	0.002918201657869652	0.015574358803366141	0.0677205444316258	0.006095091576675759	0.0	0.6173286969896813	0.1107334064221389
15	0.002404814682032547	0.38069204643183135	0.0043486754538285015	0.0	0.0	0.0	0.0	0.00577080538299839	0.018635130409828057	0.00935674117715329	0.0010338490208115073	4.810583384240824E-6	0.0	0.025232901105599406	0.5525202257525327
