State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.69399	0.56903	0.82192	0.91247	0.94349	0.75575	1.15295	1.62823
2	68.08047	0.27001	0.58881	0.81067	0.66994	0.34484	0.53158	1.09196
3	5.12514	0.44232	0.48039	0.61070	0.62553	0.37305	0.50354	1.20449
4	0.49157	0.47248	3.18134	1.90407	2.40501	0.60557	0.82136	0.30207
5	6.98913	0.63204	3.74951	2.16880	3.34129	0.41890	0.65259	0.28442
6	3.08027	0.43167	1.55821	2.29097	1.17062	0.42443	0.89778	0.13893
7	1.03731	0.26769	1.70851	2.26498	1.89393	0.82838	2.26751	0.11304
8	2.25453	0.40541	1.40877	1.34797	1.89858	0.93243	1.86888	0.33025
9	0.97490	0.32196	1.30177	1.14070	1.90462	1.40712	2.30797	0.36314
10	0.60253	2.70620	1.57274	1.00254	2.25643	3.98807	6.49754	0.28695
11	0.65388	72.20523	9.35427	1.53147	2.53124	60.87734	23.59663	0.28150
12	0.14467	38.76275	4.52390	1.18756	2.78804	53.56228	15.85389	0.39124
13	0.64662	3.35809	2.86381	2.19008	3.45232	3.00425	12.27772	0.14009
14	0.30411	31.50671	3.97540	0.97968	1.33776	18.33590	11.09720	1.02154
15	0.92086	0.77486	0.80263	0.65535	0.74010	1.84295	1.85436	0.79800
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
